,0
0,0.3639
1,0.3802
2,0.3802
3,0.701
4,0.4226
5,0.4091
6,0.6178
7,0.5049
8,0.4231
9,0.4261
10,0.4963
11,0.4968
12,0.5241
13,0.5571
14,0.3405
15,0.5384
16,0.467
17,0.5906
18,0.6289
19,0.3581
20,0.4521
21,0.4217
22,0.5547
23,0.4265
24,0.5541
25,0.5086
26,0.3773
27,0.3966
28,0.4725
29,0.3694
30,0.5034
31,0.466
32,0.3257
33,0.4862
34,0.4034
35,0.4194
36,0.3628
37,0.494
38,0.54
39,0.4811
40,0.6343
41,0.5665
42,0.4146
43,0.4298
44,0.6041
45,0.5735
46,0.59
47,0.4168
48,0.5377
49,0.5807
50,0.3231
51,0.5135
52,0.4945
53,0.6002
54,0.3042
55,0.5257
56,0.6448
57,0.6174
58,0.5162
59,0.441
60,0.5566
61,0.6706
62,0.5452
63,0.619
64,0.6703
65,0.4868
66,0.4429
67,0.5121
68,0.4741
69,0.687
70,0.4086
71,0.4223
72,0.6118
73,0.5612
74,0.5255
75,0.4265
76,0.5792
77,0.4668
78,0.4348
79,0.5259
80,0.399
81,0.5332
82,0.7233
83,0.3987
84,0.4274
85,0.6144
86,0.5482
87,0.4929
88,0.4174
89,0.5532
90,0.6056
91,0.6512
92,0.5022
93,0.6363
94,0.4406
95,0.6516
96,0.4307
97,0.4591
98,0.5129
99,0.3917
100,0.4568
101,0.405
102,0.5897
103,0.5686
104,0.4687
105,0.3493
106,0.5
107,0.5067
108,0.4638
109,0.6687
110,0.4151
111,0.5336
112,0.4861
113,0.6135
114,0.4771
115,0.5749
116,0.3494
117,0.4983
118,0.6149
119,0.7007
120,0.5027
121,0.6414
122,0.488
123,0.5296
124,0.5067
125,0.4742
126,0.544
127,0.6588
128,0.5623
129,0.5454
130,0.5373
131,0.6576
132,0.5387
133,0.3796
134,0.6569
135,0.4861
136,0.5167
137,0.5784
138,0.6048
139,0.5353
140,0.674
141,0.4703
142,0.4453
143,0.4796
144,0.5642
145,0.498
146,0.4601
147,0.5113
148,0.5967
149,0.4048
150,0.5625
151,0.4803
152,0.4618
153,0.4856
154,0.4589
155,0.4245
156,0.3754
157,0.6287
158,0.4297
159,0.4099
160,0.5268
161,0.5325
162,0.5599
163,0.5412
164,0.5005
165,0.418
166,0.4118
167,0.5952
168,0.5191
169,0.5015
170,0.3594
171,0.6328
172,0.4022
173,0.6686
174,0.5036
175,0.4904
176,0.5287
177,0.3621
178,0.3829
179,0.6837
180,0.4022
181,0.4704
182,0.5566
183,0.523
184,0.5091
185,0.3843
186,0.4061
187,0.4117
188,0.4526
189,0.3554
190,0.4372
191,0.5046
192,0.5932
193,0.4993
194,0.6
195,0.4578
196,0.477
197,0.6341
198,0.6537
199,0.4081
200,0.3405
201,0.586
202,0.6399
203,0.4069
204,0.4816
205,0.5269
206,0.4894
207,0.5808
208,0.5984
209,0.5822
210,0.4526
211,0.5053
212,0.565
213,0.5625
214,0.4454
215,0.6193
216,0.3888
217,0.3708
218,0.6481
219,0.5817
220,0.3737
221,0.4377
222,0.5979
223,0.5437
224,0.4963
225,0.4833
226,0.5518
227,0.5818
228,0.5096
229,0.5068
230,0.5276
231,0.4564
232,0.5204
233,0.4132
234,0.4778
235,0.3541
236,0.5241
237,0.6955
238,0.6354
239,0.5961
240,0.5681
241,0.5887
242,0.4803
243,0.3674
244,0.5853
245,0.5833
246,0.475
247,0.4372
248,0.5945
249,0.6115
250,0.4083
251,0.4286
252,0.3135
253,0.5288
254,0.4034
255,0.453
256,0.4226
257,0.5482
258,0.3319
259,0.4623
260,0.425
261,0.5876
262,0.4694
263,0.4019
264,0.4185
265,0.6337
266,0.4324
267,0.6285
268,0.6676
269,0.5898
270,0.5472
271,0.5564
272,0.4615
273,0.6914
274,0.5337
275,0.6484
276,0.4715
277,0.5178
278,0.4438
