,0
0,0.182
1,0.134
2,0.4013
3,0.1893
4,0.6836
5,0.7123
6,0.6341
7,0.5216
8,0.4793
9,0.1563
10,0.6518
11,0.2235
12,0.351
13,0.3223
14,0.2854
15,0.3311
16,0.2682
17,0.6411
18,0.5941
19,0.4078
20,0.2531
21,0.3423
22,0.4129
23,0.5157
24,0.418
25,0.627
26,0.2986
27,0.7063
28,0.523
29,0.204
30,1.0774
31,0.3709
32,0.3218
33,0.8676
34,0.3467
35,0.4262
36,0.7208
37,0.388
38,0.6129
39,0.6153
40,0.3811
41,0.6384
42,0.8968
43,0.2587
44,0.1962
45,0.2512
46,0.8049
47,0.4467
48,0.4435
49,0.7907
50,0.1497
51,0.4337
52,0.642
53,0.5334
54,0.5362
55,1.0147
56,0.7043
57,0.5311
58,0.5121
59,0.6997
60,0.1281
61,0.4305
62,0.3301
63,0.137
64,0.6189
65,0.2848
66,0.1712
67,0.5491
68,0.5837
69,0.6504
70,0.3459
71,0.5418
72,0.447
73,0.1601
74,0.3405
75,0.3094
76,0.7217
77,0.146
78,0.3459
79,0.2562
80,0.8677
81,0.6963
82,0.4441
83,0.5592
84,0.5402
85,0.6568
86,0.2768
87,0.2877
88,0.4229
89,0.5174
90,0.2063
91,0.2454
92,0.3591
93,0.6179
94,0.1702
95,0.0935
96,0.6948
97,0.1847
98,0.3512
99,0.2658
100,0.2585
101,0.2777
102,0.311
103,0.4616
104,0.3066
105,0.4705
106,0.8371
107,0.4141
108,0.1405
109,0.6002
110,0.331
111,0.7872
112,0.6919
113,0.5637
114,0.3937
115,0.8186
116,0.4043
117,0.3788
118,0.6519
119,0.7406
120,0.3492
121,0.3127
122,0.2488
123,0.1874
124,0.7797
125,0.1705
126,0.1419
127,0.3473
128,0.3896
129,0.4656
130,0.6249
131,0.3994
132,0.3465
133,0.4794
134,0.4981
135,0.2253
136,0.4927
137,0.7656
138,0.4712
139,0.8397
140,0.8466
141,0.1945
142,0.1762
143,0.2827
144,0.5554
145,0.4011
146,0.3181
147,0.4608
148,0.7246
149,0.7741
150,1.1869
151,0.8723
152,0.4604
153,0.7709
154,0.9709
155,0.1635
156,0.1591
157,0.3281
158,0.7799
159,0.4618
160,0.5494
161,0.4259
162,1.1877
163,0.6489
164,0.6822
165,0.7283
166,0.2661
167,0.5741
168,0.8364
169,0.455
170,0.7933
171,1.0545
172,0.5369
173,0.1358
174,0.2894
175,0.5768
176,0.4504
177,0.4406
178,0.1945
179,0.5249
180,0.4688
181,0.3552
182,0.2458
183,0.7617
184,0.6923
185,0.1763
186,0.2346
187,0.9385
188,0.523
189,1.4198
190,0.4133
191,0.1368
192,0.5223
193,0.7027
194,0.717
195,0.7287
196,0.3297
197,0.3636
198,0.4472
199,0.639
200,0.5255
201,0.2921
202,0.4906
203,0.2955
204,0.6053
205,0.6821
206,0.2107
207,0.112
208,0.5415
209,0.609
210,0.4305
211,0.2222
212,1.548
213,0.8481
214,0.6894
215,0.4973
216,0.4521
217,0.2332
218,0.6692
219,0.6771
220,0.5475
221,0.4835
222,0.3564
223,0.4762
224,0.7521
225,0.32
226,0.5699
227,0.2852
228,0.4323
229,0.0884
230,0.8307
231,0.3569
232,0.1503
233,0.2825
234,0.1835
235,0.4804
236,0.8294
237,1.3137
238,0.8101
239,0.2617
240,1.7353
241,0.2955
242,0.3569
243,0.6981
244,0.3782
245,0.628
246,0.5449
247,0.6256
248,0.2535
249,0.1935
